"RECORD #(BIBLIO)","OCLC #","FUND"
"b16222994","588479091","edib "
"b16223007","609539027","edib "
"b16223019","502673924","edib "
"b16223032","651914147","edib "
"b16223044","317623171","edib "
"b16223056","610466457","edib "
"b16223068","466335116","edib "
"b1622307x","632227623","edib "
"b16223081","319868554","edib "
"b16223093","502359918","edib "
"b1622310x","259265729","edib "
"b16223123","263995816","edib "
"b16223135","652743637","edib "
"b16223147","461324073","edib "
"b16223160","320799932","edib "
"b16223172","610849747","edib "
"b16223184","627701276","edib "
"b16223196","502874883","edib "
"b16223202","527702707","gslb "
"b16223214","84838412","glsrb"
"b16223226","165082308","socrb"
"b16223238","49679336","socrb"
"b1622324x","137324975","glsrb"
"b16223251","430054422","edib "
"b16223263","655341335","gslrb"
"b16223275","691269464",
"b16223287","691258895",
"b16223305","436625825","nutrb"
"b16223317","",
"b16223329","311059821","nutrb"
"b16223330","691273773",
"b16223342","76838979","alibd"
"b16238163","76961330","polb "
"b16238175","567195308","edib "
"b16238187","692199010",
"b16238199","76786787","vidb "
"b16238217","659712295","edib "
"b16238242","436387168","edib "
"b16238254","635455607","edib "
"b16238266","495545345","edib "
"b16238278","320696557","edib "
"b1623828x","606768482","edib "
"b16238291","644019186","edurb"
"b16238308","430522897","womb "
"b1623831x","555658436","hisb "
"b16238321","433551332","mllb "
"b16238333","320351788","mllb "
"b16238345","310959842","mllb "
"b16238357","318057868","mllb "
"b16238369","455846016","mllb "
"b16238370","396198104","mllb "
"b16238382","317925616","mllb "
"b16238394","311310096","mllb "
"b16238400","320895744","mllb "
"b16238412","317288449","mllb "
"b16238424","298670822","mllb "
"b16238436","430496948","mllb "
"b16238448","369140811","mllb "
"b1623845x","326571132","mllb "
"b16238461","318874480","mllb "
"b16238473","310714993","mllb "
"b16238485","320800443","mllb "
"b16238497","316829390","mllb "
"b16238503","77767553","engb "
"b16238515","310224867","womb "
"b16238527","646716042","edurb"
"b16238539","231879767","edurb"
"b16238552","39515065","edurb"
"b16238564","144616207","edurb"
"b16238576","58546951","socrb"
"b16238588","261224397","socrb"
"b1623859x","135414530",
"b16238606","676918885","edib "
"b16238618","659712318","edib "
"b16238631","436243515","edib "
"b16238643","185698411","comb "
"b16238655","693592361","gslrb"
"b16238680","550550864","divb "
"b16238692","298128770","divb "
"b16238709","548596868","divb "
"b16238710","318090802","divb "
"b16238722","548651218","divb "
"b16238746","660804710","divb "
"b16238758","515468235","divb "
"b1623876x","548642133","divb "
"b16238771","464593442","divb "
"b16238783","317919660","divb "
"b16238795","430839007","divb "
"b16238801","439209804","divb "
"b16238813","495781119","divb "
"b16238825","548642142","divb "
"b16238837","449844391","divb "
"b16238849","664270219","divb "
"b16238850","548641994","divb "
"b16238862","424555364","divb "
"b16238874","662504081","divb "
"b16238886","542263633","divb "
"b16238898","562775395","divb "
"b16238904","491898243","divb "
"b16238916","429021929","divb "
"b16238928","456180016","divb "
"b16238941","458577718","phtrb"
"b16239003","239232250","gslrb"
"b16239015","320022144","shsb "
"b16239027","60414522","shsb "
"b16239039","460053335","shsb "
"b16239040","54822848","shsb "
"b16239052","670428193","shsb "
"b16239076","34779525","crlso","crlb "
"b16239088","24097478","crlso","crlso","crlb ","none "
"b1623909x","672278441","gslbo"
"b16239106","651486891","gslbo"
"b16239118","601086428","gslbo"
"b16239131","537308872","divb "
"b16239143","660509856","shsb "
"b16239155","213223696","shsb "
"b16239167","60414675","shsb "
"b16239179","244068190","shsb "
"b16239180","42202985","alibd"
"b16239209","468232707","giftb"
"b16239210","264018176","sswrb"
"b16239222","275864610","sswrb"
"b16239234","58432667","sswrb"
"b16239246","251215737","sswrb"
"b1623926x","444387908","hoyt "
"b16239271","609539920","saltz"
"b16239283","456170165","divb "
"b16239295","606785280","divb "
"b16239313","511611639","divb "
"b16239325","690156244","artm "
"b16239337","499451044","polb "
"b16239349","",
"b16239350","213446285","polrb"
"b16239362","212204392","gslrb"
"b16239374","268788295","gslb "
"b16239386","40057239",
"b16239398","694874588","mllm "
"b16239404","66903075","engm "
"b16239416","506251708","engrb"
"b16239428","369141954","sswrb","ecorb"
"b1623943x","608125414","hism "
"b16239441","190875228","sswrb"
"b16239465","426149131",
"b16239477","62886651",
"b16239489","310959902","nutrb"
"b16239490","314842118","socrb"
"b16239507","642204830","socrb"
"b16239519","176925209","socrb"
"b16239520","45460833","sswrb"
"b16239532","72845469","engm "
"b16239544","430052519","engm "
"b16239556","676839471","engm "
"b16239568","148696739","crlb "
"b1623957x","601330902","womb "
"b16239581","44413907","engb "
"b16239593","13184081","engb "
"b1623960x","49011573","engb "
"b16239611","144570980","engb "
"b16239623","57134413","ecorb"
"b16239635","695448662",
"b16239647","695449402",
"b16239659","695582438","none "
"b16239660","695582867",
"b16239672","426065922","ecob "
"b16239684","401151081","ecob "
"b16239714","680087216","srcb "
"b16239726","34234728",
"b16240273","144216934","artb "
"b16240285","630505803","artb "
"b16240297","70149187","sswrb"
"b16240303","226356691","mgmrb"
"b16240315","656365556","artrb"
"b16240327","444387777","artrb"
"b16240339","66292655","engm "
"b16240340","52767420","engm "
"b16240352","62149985","engm "
"b16240364","502424137","mllb "
"b16251787","544474617","divb "
"b16251799","48569069","mllrb"
"b16251945","630498096","gslb "
"b16251957","645678868","sswb "
"b16252056","54085828","engm "
"b16252068","496962853","edurb"
"b1625207x","36705811","sswrb"
"b16252081","77116925","chlrb"
"b16252093","45835601","chlrb"
"b1625210x","423388199","chlrb"
"b16252123","228142643","sswm "
"b16252135","544287363","gslb "
"b16252159","462967522","sswm "
"b16252172","",
"b16252184","640916591","gslb "
"b16252196","642511018","gslb "
"b16252202","642509899","gslb "
"b16252214","657635753","gslb "
"b16252226","657635751","gslb "
"b16252251","377813654","polrb"
"b16252263","310399787","engrb"
"b16252275","71800526","mgmrb"
"b16252287","690103904","gslbo"
"b16252299","441167490","gslbo"
"b16252305","662152479","gslbo"
"b16252317","657223793","gslbo"
"b16252330","695654991",
"b16252342","693156168",
"b16252354","619552230",
"b16252366","666246348",
"b16252378","",
"b16252391","499079418","shsb "
"b16252408","82367789","phtrb"
"b16252421","297146322","mgmrb"
"b16252433","41211330","hisrb"
"b16252445","51484403","comm "
"b16252457","646114422",
"b16252469","246198864","psyrb"
"b16252470","",
"b16252482","",
"b16252494","",
"b16252500","",
"b16252512","",
"b16252524","",
"b16252536","",
"b16252548","",
"b1625255x","",
"b16252561","",
"b16252573","4968245","crlso","crlb "
"b16252585","697843429","crlb "
"b16252640","",
"b16252652","",
"b16252664","",
"b16252676","145325734","comm "
"b16252688","",
"b16252810","505237144","gsmb "
"b16252895","664676145","gsmb "
"b16252974","645674935","gsmb "
"b16252986","613293334","gsmb "
"b16253000","68193583","comm "
"b16253012","",
"b16253024","670375543","polrb"
"b16253036","697534947","comrb"
"b16253048","663106859","comrb"
"b1625305x","349248325","polrb"
"b16253061","268788571","polrb"
"b16253073","676067668","polrb"
"b16253085","344037019","chlrb"
"b16253097","34731617","sswrb"
"b16253103","643562515","gslb "
"b16253115","19889555","hisrb"
"b16253255","",
"b16253267","698183001","comrb"
"b16253279","698183763","mgmrb"
"b16253280","",
"b16253292","",
"b16253309","698182055","crlb "
"b16253310","",
"b16253322","166889116","ecom "
"b16253346","55588968","sswb "
"b16253358","71266593","engrb"
"b1625336x","466344397","chlrb"
"b16253371","81150465","engrb"
"b16253383","319320797","engrb"
"b16253395","641532282","divb "
"b16253401","34513129","engrb"
"b16253425","542263587","chlrb"
"b16253437","526057801","engrb"
"b16253449","430736485","engrb"
"b16253450","495271458","engrb"
"b16253462","291193049","engrb"
"b16253474","495271426","engrb"
"b16253486","51274845","gslrb"
"b16253504","540643976","divb "
"b16253516","31166637","glsb "
"b16253528","9392831","hisb "
"b1625353x","77572179","artrb"
"b16253541","244055600","artrb"
"b16253553","639162738","gslrb"
"b16253565","455157098","nurrb"
"b16253577","232636708","nurrb"
"b16253590","175055300","nurrb"
"b16253607","29845018","engb "
"b16253619","657635755","gslb "
"b16253620","52858157","sswb "
"b16253632","607314702","nurm "
"b16253644","",
"b16253656","",
"b16253668","",
"b1625367x","",
"b16253681","",
"b1625370x","",
"b16253711","30065137","refso"
"b16253723","635459423","divb "
"b16253735","495781129","afrb "
"b16253747","368040267","afrb "
"b16253759","326531523","afrb "
"b16253760","222666267","gslrb"
"b16253875","182848445","sswm "
"b16253991","",
"b16254041","429021916","gsmb "
"b1625417x","685103994","gslrb"
"b16254193","677973893","cosrb"
"b1625420x","633138546","cosrb"
"b16254223","435420629","engrb"
"b16254235","191732527","nurrb"
"b16254259","699507794",
"b16254260","699510631",
"b16254272","",
"b16254296","5891955",
"b16254302","126225322","chlrb"
"b16254314","461340442","chlrb"
"b16254326","313658202","chlrb"
"b16254338","173243702","chlrb"
"b1625434x","244416679","chlrb"
"b16254351","",
"b16254375","",
"b16254387","699789043","sswb "
"b16254399","",
"b16254405","36130780","engrb"
"b16254417","660483005","gsmb "
"b16254429","500183968","chlrb"
"b16254430","424555395","chlrb"
"b16254442","548555604","gslb "
"b16254454","615339618",
"b16254466","318876913","chlrb"
"b16254478","405104996","chlrb"
"b1625448x","612958309","chlrb"
"b16254491","276406141","chlrb"
"b16254508","403852845","chlrb"
"b1625451x","429634703","chlrb"
"b16254521","298612189","chlrb"
"b16254533","632080012","chlrb"
"b16254545","682921018",
"b16254557","617524647","nutrb"
"b16254569","314596975","shsrb"
"b16254570","213375847","shsrb"
"b16254612","23254101","engrb"
"b16254624","655662190",
"b16254636","700466479",
"b16255094","401140429","engb "
"b16255112","",
"b16255124","",
"b16255136","",
"b16255240","",
"b16340991","",
"b16341004","",
"b16341016","",
"b16341028","",
"b1634103x","",
"b16433622","636475076","engb "
"b16433634","317321007","sswm "
"b16433671","667105143","mllm "
"b16433683","",
"b16433695","",
"b16433701","",
"b16433713","",
"b16433725","663714097",
"b16433737","",
"b16433749","",
"b16433750","",
"b16433762","",
"b16433774","",
"b16433798","29477874",
"b16433828","286517747","shsb "
"b1643383x","304078390","shsb "
"b16433841","236052712","shsb "
"b16433853","156863743","shsb "
"b16433865","51842796",
"b16434079","417444987","edib "
"b16434080","301890817","edib "
"b16434092","276820100","edib "
"b16434110","76792064","edib "
"b16434122","244701505","edib "
"b16434134","276228898","edib "
"b16434146","261400349","edib "
"b16434158","52242915","nutm "
"b16434493","70914385","engrb"
"b1643450x","213446669","engrb"
"b1643464x","233029756","edib "
"b16434651","648480873","chlb "
"b16434717","663822323","gslbo"
"b16434729","666224054","gslbo"
"b16434730","607318986","gslbo"
"b16434742","693750938","gslbo"
"b16434754","598305111","gslbo"
"b16434766","",
"b16434778","244417247","ecob "
"b1643478x","645892574","hisb "
"b1643481x","70267013","giftb"
"b16434821","",
"b16434985","644665251",
"b1643500x","693779209","giftb"
"b16435126","",
"b16435138","",
"b1643514x","",
"b16451831","49046",
"b16451855","320696549","edib "
"b16451867","540182878","mllb "
"b16451879","669949651","gslb "
"b16451910","",
"b16451922","",
"b16451934","",
"b16451946","",
"b16451983","",
"b16452008","61104152","chle "
"b16452227","3240608",
